"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 15 14:31:51 GMT 2022","Tue Nov 15 14:31:51 GMT 2022","490","Test suite","Tests","com.epam.jdi.httptests.example.ServiceTests","com.epam.jdi.httptests.example.ServiceTests","htmlBodyParseTest","htmlBodyParseTest",""
"passed","Tue Nov 15 14:31:48 GMT 2022","Tue Nov 15 14:31:51 GMT 2022","2953","Test suite","Tests","com.epam.jdi.httptests.example.ServiceTests","com.epam.jdi.httptests.example.ServiceTests","cookiesTest","cookiesTest",""
"passed","Tue Nov 15 14:32:03 GMT 2022","Tue Nov 15 14:32:04 GMT 2022","573","Test suite","Tests","com.epam.jdi.httptests.example.ServiceSettingsTests","com.epam.jdi.httptests.example.ServiceSettingsTests","assignBoardToOrganization","assignBoardToOrganization",""
"passed","Tue Nov 15 14:32:00 GMT 2022","Tue Nov 15 14:32:03 GMT 2022","2728","Test suite","Tests","com.epam.jdi.httptests.example.TrelloTests","com.epam.jdi.httptests.example.TrelloTests","createCardInBoard","createCardInBoard",""
"passed","Tue Nov 15 14:31:51 GMT 2022","Tue Nov 15 14:31:52 GMT 2022","503","Test suite","Tests","com.epam.jdi.httptests.example.ServiceTests","com.epam.jdi.httptests.example.ServiceTests","noServiceObjectTest","noServiceObjectTest",""
"passed","Tue Nov 15 14:31:58 GMT 2022","Tue Nov 15 14:32:00 GMT 2022","2305","Test suite","Tests","com.epam.jdi.httptests.example.TrelloTests","com.epam.jdi.httptests.example.TrelloTests","assignBoardToOrganization","assignBoardToOrganization",""
"passed","Tue Nov 15 14:31:58 GMT 2022","Tue Nov 15 14:31:58 GMT 2022","280","Test suite","Tests","com.epam.jdi.httptests.example.ServiceTests","com.epam.jdi.httptests.example.ServiceTests","statusTestWithQueryInPath","statusTestWithQueryInPath",""
"passed","Tue Nov 15 14:31:52 GMT 2022","Tue Nov 15 14:31:57 GMT 2022","5291","Test suite","Tests","com.epam.jdi.httptests.example.ServiceTests","com.epam.jdi.httptests.example.ServiceTests","retryRequestTest","retryRequestTest",""
"passed","Tue Nov 15 14:31:58 GMT 2022","Tue Nov 15 14:31:58 GMT 2022","351","Test suite","Tests","com.epam.jdi.httptests.example.ServiceTests","com.epam.jdi.httptests.example.ServiceTests","simpleRestTest","simpleRestTest",""
"passed","Tue Nov 15 14:31:57 GMT 2022","Tue Nov 15 14:31:58 GMT 2022","324","Test suite","Tests","com.epam.jdi.httptests.example.ServiceTests","com.epam.jdi.httptests.example.ServiceTests","serviceInitTest","serviceInitTest",""
